bairro,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Residencial Jardins do Cerrado 2,-16.6714766,-49.41546990000001,17118.66,-17083.12,936.12
Residencial Jardins do Cerrado 3,-16.6675725,-49.420903,17725.01,-17661.51,1369.99
Residencial Jardins do Cerrado 4,-16.6659117,-49.4300801,18714.3,-18638.47,1554.56
Residencial Jardins do Cerrado 6,-16.6727872,-49.4293984,18593.43,-18565.9,790.47
Residencial Jardins do Cerrado 7,,,,,
Residencial José Viandeli,-16.6204741,-49.2820969,7210.89,-2884.65,6604.18
Residencial João Paulo II,-16.6037967,-49.21438389999999,9504.45,4323.86,8457.58
Residencial Junqueira,-16.6587533,-49.3792777,13445.53,-13230.21,2350.1
Residencial Juscelino Kubitschek,-16.689379,-49.3027561,5194.73,-5083.96,-1053.43
Residencial Kátia,-16.7371824,-49.3613788,12997.12,-11324.75,-6365.96
Residencial Licardino Ney,-16.6148981,-49.2873116,8005.73,-3439.79,7223.85
Residencial Linda Vista,-16.8212052,-49.3697969,19906.95,-12220.92,-15703.66
Residencial London Park,-16.6484212,-49.3583347,11550.84,-11000.69,3498.33
Residencial Lucy Pinheiro,-16.653862,-49.17465180000001,9035.41,8553.62,2893.68
Residencial Lírios do Campo,-16.7002133,-49.413882,17072.68,-16914.08,-2257.48
Residencial Manhattan,-16.6812415,-49.2691102,1510.34,-1502.13,-149.08
Residencial Mansões Paraíso,-16.6235482,-49.3443769,11398.33,-9514.78,6262.54
Residencial Mar Del Plata,-16.664592,-49.1784105,8334.03,8153.48,1701.22
Residencial Maria Lourença,-16.6246299,-49.2955509,7512.14,-4316.92,6142.33
Residencial Mendanha,-16.6835657,-49.3716855,12435.46,-12421.97,-407.38
Residencial Mirante,-16.6985307,-49.28854279999999,4129.86,-3570.86,-2070.48
Residencial Monte Carlo,-16.726997,-49.3354964,10046.09,-8569.39,-5234.03
Residencial Monte Pascoal,-16.694029,-49.4022921,15766.88,-15680.25,-1570.2
Residencial Monte Pascoal II,-16.694029,-49.4022921,15766.88,-15680.25,-1570.2
Residencial Montes Claros,-16.6191784,-49.2188138,7774.95,3852.27,6748.17
Residencial Morada do Bosque,-16.5946984,-49.260067,9489.35,-539.42,9468.71
